,source,target,level,color,hovercolor,path,ocrevus,label,value
15,0,1,1,"rgba(0,255,0,0.2)","rgba(0,255,0,1.0)",START-->YES-->Other St. Christopher's Hospital-->NO-->YES-->N/A,0,START-->YES-->Other St. Christopher's Hospital-->NO-->YES-->N/A,1
16,0,1,1,"rgba(0,255,0,0.2)","rgba(0,255,0,1.0)",START-->YES-->Other SJRA-->YES-->YES-->NO,0,START-->YES-->Other SJRA-->YES-->YES-->NO,1
17,0,1,1,"rgba(0,255,0,0.2)","rgba(0,255,0,1.0)",START-->YES-->Other NYU-->NO-->YES-->NO,0,START-->YES-->Other NYU-->NO-->YES-->NO,1
18,0,1,1,"rgba(0,255,0,0.2)","rgba(0,255,0,1.0)",START-->YES-->Other Larchmont Imaging-->YES-->NO-->NO,0,START-->YES-->Other Larchmont Imaging-->YES-->NO-->NO,1
19,0,1,1,"rgba(0,255,0,0.2)","rgba(0,255,0,1.0)",START-->YES-->Other Crozer-->NO-->NO-->YES,0,START-->YES-->Other Crozer-->NO-->NO-->YES,1
20,0,1,1,"rgba(0,255,0,0.2)","rgba(0,255,0,1.0)",START-->YES-->Other - unknown-->NO-->NO-->YES,0,START-->YES-->Other - unknown-->NO-->NO-->YES,1
21,0,1,1,"rgba(0,255,0,0.2)","rgba(0,255,0,1.0)",START-->YES-->Other - Upper Dublin MRI-->NO-->YES-->NO,0,START-->YES-->Other - Upper Dublin MRI-->NO-->YES-->NO,1
22,0,1,1,"rgba(0,255,0,0.2)","rgba(0,255,0,1.0)",START-->YES-->Other (Doylestown)-->YES-->NO-->NO,0,START-->YES-->Other (Doylestown)-->YES-->NO-->NO,1
23,0,1,1,"rgba(0,255,0,0.2)","rgba(0,255,0,1.0)",START-->YES-->Other (Chester County Hospital)-->YES-->YES-->NO,0,START-->YES-->Other (Chester County Hospital)-->YES-->YES-->NO,1
24,0,1,1,"rgba(0,255,0,0.25)","rgba(0,255,0,1.0)",START-->YES-->Other-->YES-->YES-->NO,1,START-->YES-->Other-->YES-->YES-->NO,3
25,0,1,1,"rgba(0,255,0,0.25)","rgba(0,255,0,1.0)",START-->YES-->Other-->YES-->NO-->NO,1,START-->YES-->Other-->YES-->NO-->NO,1
26,0,1,1,"rgba(0,255,0,0.2)","rgba(0,255,0,1.0)",START-->YES-->Other-->NO-->YES-->N/A,0,START-->YES-->Other-->NO-->YES-->N/A,1
27,0,1,1,"rgba(0,255,0,0.2)","rgba(0,255,0,1.0)",START-->YES-->Other-->NO-->NO-->YES,0,START-->YES-->Other-->NO-->NO-->YES,1
28,0,1,1,"rgba(0,255,0,0.2)","rgba(0,255,0,1.0)",START-->YES-->Main Line Health-->YES-->YES-->NO,0,START-->YES-->Main Line Health-->YES-->YES-->NO,1
29,0,1,1,"rgba(0,255,0,0.2)","rgba(0,255,0,1.0)",START-->YES-->Main Line Health-->SOME-->YES-->NO,0,START-->YES-->Main Line Health-->SOME-->YES-->NO,1
30,0,1,1,"rgba(0,255,0,0.25)","rgba(0,255,0,1.0)",START-->YES-->Main Line Health-->NO-->YES-->NO,1,START-->YES-->Main Line Health-->NO-->YES-->NO,2
31,0,1,1,"rgba(0,255,0,0.2)","rgba(0,255,0,1.0)",START-->YES-->Main Line Health-->NO-->YES-->N/A,0,START-->YES-->Main Line Health-->NO-->YES-->N/A,1
32,0,1,1,"rgba(0,255,0,0.25)","rgba(0,255,0,1.0)",START-->YES-->Lehigh Valley Health Network-->NO-->YES-->YES,1,START-->YES-->Lehigh Valley Health Network-->NO-->YES-->YES,1
33,0,1,1,"rgba(0,255,0,0.4)","rgba(0,255,0,1.0)",START-->YES-->HUP/PCAM/Presby/Pennsy-->YES-->YES-->NO,4,START-->YES-->HUP/PCAM/Presby/Pennsy-->YES-->YES-->NO,19
34,0,1,1,"rgba(0,255,0,0.4)","rgba(0,255,0,1.0)",START-->YES-->HUP/PCAM/Presby/Pennsy-->YES-->YES-->N/A,4,START-->YES-->HUP/PCAM/Presby/Pennsy-->YES-->YES-->N/A,9
35,0,1,1,"rgba(0,255,0,0.2)","rgba(0,255,0,1.0)",START-->YES-->HUP/PCAM/Presby/Pennsy-->YES-->N/A-->NO,0,START-->YES-->HUP/PCAM/Presby/Pennsy-->YES-->N/A-->NO,1
36,0,1,1,"rgba(0,255,0,0.2)","rgba(0,255,0,1.0)",START-->YES-->Geisinger and Other-->NO-->SOME-->NO,0,START-->YES-->Geisinger and Other-->NO-->SOME-->NO,1
37,0,2,1,"rgba(255,0,0,0.25)","rgba(255,0,0,1.0)",START-->NO-->Tower Health-->NO-->NO-->YES,1,START-->NO-->Tower Health-->NO-->NO-->YES,1
38,0,2,1,"rgba(255,0,0,0.30000000000000004)","rgba(255,0,0,1.0)",START-->NO-->Other-->N/A-->N/A-->N/A,2,START-->NO-->Other-->N/A-->N/A-->N/A,8
39,0,2,1,"rgba(255,0,0,0.55)","rgba(255,0,0,1.0)",START-->NO-->N/A-->N/A-->N/A-->N/A,7,START-->NO-->N/A-->N/A-->N/A-->N/A,12
40,0,2,1,"rgba(255,0,0,0.2)","rgba(255,0,0,1.0)",START-->NO-->HUP/PCAM/Presby/Pennsy-->YES-->YES-->NO,0,START-->NO-->HUP/PCAM/Presby/Pennsy-->YES-->YES-->NO,1
41,0,2,1,"rgba(255,0,0,0.25)","rgba(255,0,0,1.0)",START-->NO-->HUP/PCAM/Presby/Pennsy-->NO-->NO-->NO,1,START-->NO-->HUP/PCAM/Presby/Pennsy-->NO-->NO-->NO,1
42,0,2,1,"rgba(255,0,0,0.4)","rgba(255,0,0,1.0)",START-->NO-->HUP/PCAM/Presby/Pennsy-->N/A-->N/A-->N/A,4,START-->NO-->HUP/PCAM/Presby/Pennsy-->N/A-->N/A-->N/A,5
43,1,3,2,"rgba(0,0,255,0.2)","rgba(0,0,255,1.0)",START-->YES-->Virtua Health-->YES-->YES-->N/A,0,START-->YES-->Virtua Health-->YES-->YES-->N/A,1
44,1,4,2,"rgba(0,0,255,0.2)","rgba(0,0,255,1.0)",START-->YES-->Tower Health-->YES-->YES-->NO,0,START-->YES-->Tower Health-->YES-->YES-->NO,1
45,1,4,2,"rgba(0,0,255,0.25)","rgba(0,0,255,1.0)",START-->YES-->Tower Health-->NO-->YES-->NO,1,START-->YES-->Tower Health-->NO-->YES-->NO,3
46,1,5,2,"rgba(0,0,255,0.2)","rgba(0,0,255,1.0)",START-->YES-->Thomas Jefferson University Hospital-->YES-->YES-->NO,0,START-->YES-->Thomas Jefferson University Hospital-->YES-->YES-->NO,2
47,1,5,2,"rgba(0,0,255,0.2)","rgba(0,0,255,1.0)",START-->YES-->Thomas Jefferson University Hospital-->SOME-->YES-->YES,0,START-->YES-->Thomas Jefferson University Hospital-->SOME-->YES-->YES,1
48,1,5,2,"rgba(0,0,255,0.25)","rgba(0,0,255,1.0)",START-->YES-->Thomas Jefferson University Hospital-->NO-->YES-->YES,1,START-->YES-->Thomas Jefferson University Hospital-->NO-->YES-->YES,2
49,1,5,2,"rgba(0,0,255,0.2)","rgba(0,0,255,1.0)",START-->YES-->Thomas Jefferson University Hospital-->NO-->YES-->NO,0,START-->YES-->Thomas Jefferson University Hospital-->NO-->YES-->NO,4
50,1,5,2,"rgba(0,0,255,0.2)","rgba(0,0,255,1.0)",START-->YES-->Thomas Jefferson University Hospital-->NO-->YES-->N/A,0,START-->YES-->Thomas Jefferson University Hospital-->NO-->YES-->N/A,2
51,1,6,2,"rgba(0,0,255,0.2)","rgba(0,0,255,1.0)",START-->YES-->Temple Health-->NO-->YES-->NO,0,START-->YES-->Temple Health-->NO-->YES-->NO,1
52,1,7,2,"rgba(0,0,255,0.2)","rgba(0,0,255,1.0)",START-->YES-->St. Luke's University Health Network-->NO-->YES-->YES,0,START-->YES-->St. Luke's University Health Network-->NO-->YES-->YES,1
53,1,7,2,"rgba(0,0,255,0.2)","rgba(0,0,255,1.0)",START-->YES-->St. Luke's University Health Network-->NO-->YES-->NO,0,START-->YES-->St. Luke's University Health Network-->NO-->YES-->NO,1
54,1,7,2,"rgba(0,0,255,0.2)","rgba(0,0,255,1.0)",START-->YES-->St. Luke's University Health Network-->NO-->YES-->N/A,0,START-->YES-->St. Luke's University Health Network-->NO-->YES-->N/A,1
55,1,8,2,"rgba(0,0,255,0.2)","rgba(0,0,255,1.0)",START-->YES-->Penn Princeton-->SOME-->SOME-->NO,0,START-->YES-->Penn Princeton-->SOME-->SOME-->NO,1
56,1,9,2,"rgba(0,0,255,0.2)","rgba(0,0,255,1.0)",START-->YES-->Penn Doylestown-->YES-->YES-->NO,0,START-->YES-->Penn Doylestown-->YES-->YES-->NO,1
57,1,10,2,"rgba(0,0,255,0.25)","rgba(0,0,255,1.0)",START-->YES-->Other Yale-->NO-->YES-->NO,1,START-->YES-->Other Yale-->NO-->YES-->NO,1
58,1,11,2,"rgba(0,0,255,0.2)","rgba(0,0,255,1.0)",START-->YES-->Other St. Christopher's Hospital-->NO-->YES-->N/A,0,START-->YES-->Other St. Christopher's Hospital-->NO-->YES-->N/A,1
59,1,12,2,"rgba(0,0,255,0.2)","rgba(0,0,255,1.0)",START-->YES-->Other SJRA-->YES-->YES-->NO,0,START-->YES-->Other SJRA-->YES-->YES-->NO,1
60,1,13,2,"rgba(0,0,255,0.2)","rgba(0,0,255,1.0)",START-->YES-->Other NYU-->NO-->YES-->NO,0,START-->YES-->Other NYU-->NO-->YES-->NO,1
61,1,14,2,"rgba(0,0,255,0.2)","rgba(0,0,255,1.0)",START-->YES-->Other Larchmont Imaging-->YES-->NO-->NO,0,START-->YES-->Other Larchmont Imaging-->YES-->NO-->NO,1
62,1,15,2,"rgba(0,0,255,0.2)","rgba(0,0,255,1.0)",START-->YES-->Other Crozer-->NO-->NO-->YES,0,START-->YES-->Other Crozer-->NO-->NO-->YES,1
63,1,16,2,"rgba(0,0,255,0.2)","rgba(0,0,255,1.0)",START-->YES-->Other - unknown-->NO-->NO-->YES,0,START-->YES-->Other - unknown-->NO-->NO-->YES,1
64,1,17,2,"rgba(0,0,255,0.2)","rgba(0,0,255,1.0)",START-->YES-->Other - Upper Dublin MRI-->NO-->YES-->NO,0,START-->YES-->Other - Upper Dublin MRI-->NO-->YES-->NO,1
65,1,18,2,"rgba(0,0,255,0.2)","rgba(0,0,255,1.0)",START-->YES-->Other (Doylestown)-->YES-->NO-->NO,0,START-->YES-->Other (Doylestown)-->YES-->NO-->NO,1
66,1,19,2,"rgba(0,0,255,0.2)","rgba(0,0,255,1.0)",START-->YES-->Other (Chester County Hospital)-->YES-->YES-->NO,0,START-->YES-->Other (Chester County Hospital)-->YES-->YES-->NO,1
67,1,20,2,"rgba(0,0,255,0.25)","rgba(0,0,255,1.0)",START-->YES-->Other-->YES-->YES-->NO,1,START-->YES-->Other-->YES-->YES-->NO,3
68,1,20,2,"rgba(0,0,255,0.25)","rgba(0,0,255,1.0)",START-->YES-->Other-->YES-->NO-->NO,1,START-->YES-->Other-->YES-->NO-->NO,1
69,1,20,2,"rgba(0,0,255,0.2)","rgba(0,0,255,1.0)",START-->YES-->Other-->NO-->YES-->N/A,0,START-->YES-->Other-->NO-->YES-->N/A,1
70,1,20,2,"rgba(0,0,255,0.2)","rgba(0,0,255,1.0)",START-->YES-->Other-->NO-->NO-->YES,0,START-->YES-->Other-->NO-->NO-->YES,1
71,1,21,2,"rgba(0,0,255,0.2)","rgba(0,0,255,1.0)",START-->YES-->Main Line Health-->YES-->YES-->NO,0,START-->YES-->Main Line Health-->YES-->YES-->NO,1
72,1,21,2,"rgba(0,0,255,0.2)","rgba(0,0,255,1.0)",START-->YES-->Main Line Health-->SOME-->YES-->NO,0,START-->YES-->Main Line Health-->SOME-->YES-->NO,1
73,1,21,2,"rgba(0,0,255,0.25)","rgba(0,0,255,1.0)",START-->YES-->Main Line Health-->NO-->YES-->NO,1,START-->YES-->Main Line Health-->NO-->YES-->NO,2
74,1,21,2,"rgba(0,0,255,0.2)","rgba(0,0,255,1.0)",START-->YES-->Main Line Health-->NO-->YES-->N/A,0,START-->YES-->Main Line Health-->NO-->YES-->N/A,1
75,1,22,2,"rgba(0,0,255,0.25)","rgba(0,0,255,1.0)",START-->YES-->Lehigh Valley Health Network-->NO-->YES-->YES,1,START-->YES-->Lehigh Valley Health Network-->NO-->YES-->YES,1
76,1,23,2,"rgba(0,0,255,0.4)","rgba(0,0,255,1.0)",START-->YES-->HUP/PCAM/Presby/Pennsy-->YES-->YES-->NO,4,START-->YES-->HUP/PCAM/Presby/Pennsy-->YES-->YES-->NO,19
77,1,23,2,"rgba(0,0,255,0.4)","rgba(0,0,255,1.0)",START-->YES-->HUP/PCAM/Presby/Pennsy-->YES-->YES-->N/A,4,START-->YES-->HUP/PCAM/Presby/Pennsy-->YES-->YES-->N/A,9
78,1,23,2,"rgba(0,0,255,0.2)","rgba(0,0,255,1.0)",START-->YES-->HUP/PCAM/Presby/Pennsy-->YES-->N/A-->NO,0,START-->YES-->HUP/PCAM/Presby/Pennsy-->YES-->N/A-->NO,1
79,1,24,2,"rgba(0,0,255,0.2)","rgba(0,0,255,1.0)",START-->YES-->Geisinger and Other-->NO-->SOME-->NO,0,START-->YES-->Geisinger and Other-->NO-->SOME-->NO,1
80,2,4,2,"rgba(0,0,255,0.25)","rgba(0,0,255,1.0)",START-->NO-->Tower Health-->NO-->NO-->YES,1,START-->NO-->Tower Health-->NO-->NO-->YES,1
81,2,20,2,"rgba(0,0,255,0.30000000000000004)","rgba(0,0,255,1.0)",START-->NO-->Other-->N/A-->N/A-->N/A,2,START-->NO-->Other-->N/A-->N/A-->N/A,8
82,2,25,2,"rgba(0,0,255,0.55)","rgba(0,0,255,1.0)",START-->NO-->N/A-->N/A-->N/A-->N/A,7,START-->NO-->N/A-->N/A-->N/A-->N/A,12
83,2,23,2,"rgba(0,0,255,0.2)","rgba(0,0,255,1.0)",START-->NO-->HUP/PCAM/Presby/Pennsy-->YES-->YES-->NO,0,START-->NO-->HUP/PCAM/Presby/Pennsy-->YES-->YES-->NO,1
84,2,23,2,"rgba(0,0,255,0.25)","rgba(0,0,255,1.0)",START-->NO-->HUP/PCAM/Presby/Pennsy-->NO-->NO-->NO,1,START-->NO-->HUP/PCAM/Presby/Pennsy-->NO-->NO-->NO,1
85,2,23,2,"rgba(0,0,255,0.4)","rgba(0,0,255,1.0)",START-->NO-->HUP/PCAM/Presby/Pennsy-->N/A-->N/A-->N/A,4,START-->NO-->HUP/PCAM/Presby/Pennsy-->N/A-->N/A-->N/A,5
86,3,26,3,"rgba(0,255,0,0.2)","rgba(0,255,0,1.0)",START-->YES-->Virtua Health-->YES-->YES-->N/A,0,START-->YES-->Virtua Health-->YES-->YES-->N/A,1
87,4,26,3,"rgba(0,255,0,0.2)","rgba(0,255,0,1.0)",START-->YES-->Tower Health-->YES-->YES-->NO,0,START-->YES-->Tower Health-->YES-->YES-->NO,1
88,4,27,3,"rgba(255,0,0,0.25)","rgba(255,0,0,1.0)",START-->YES-->Tower Health-->NO-->YES-->NO,1,START-->YES-->Tower Health-->NO-->YES-->NO,3
89,5,26,3,"rgba(0,255,0,0.2)","rgba(0,255,0,1.0)",START-->YES-->Thomas Jefferson University Hospital-->YES-->YES-->NO,0,START-->YES-->Thomas Jefferson University Hospital-->YES-->YES-->NO,2
90,5,28,3,"rgba(255,128,0,0.2)","rgba(255,128,0,1.0)",START-->YES-->Thomas Jefferson University Hospital-->SOME-->YES-->YES,0,START-->YES-->Thomas Jefferson University Hospital-->SOME-->YES-->YES,1
91,5,27,3,"rgba(255,0,0,0.25)","rgba(255,0,0,1.0)",START-->YES-->Thomas Jefferson University Hospital-->NO-->YES-->YES,1,START-->YES-->Thomas Jefferson University Hospital-->NO-->YES-->YES,2
92,5,27,3,"rgba(255,0,0,0.2)","rgba(255,0,0,1.0)",START-->YES-->Thomas Jefferson University Hospital-->NO-->YES-->NO,0,START-->YES-->Thomas Jefferson University Hospital-->NO-->YES-->NO,4
93,5,27,3,"rgba(255,0,0,0.2)","rgba(255,0,0,1.0)",START-->YES-->Thomas Jefferson University Hospital-->NO-->YES-->N/A,0,START-->YES-->Thomas Jefferson University Hospital-->NO-->YES-->N/A,2
94,6,27,3,"rgba(255,0,0,0.2)","rgba(255,0,0,1.0)",START-->YES-->Temple Health-->NO-->YES-->NO,0,START-->YES-->Temple Health-->NO-->YES-->NO,1
95,7,27,3,"rgba(255,0,0,0.2)","rgba(255,0,0,1.0)",START-->YES-->St. Luke's University Health Network-->NO-->YES-->YES,0,START-->YES-->St. Luke's University Health Network-->NO-->YES-->YES,1
96,7,27,3,"rgba(255,0,0,0.2)","rgba(255,0,0,1.0)",START-->YES-->St. Luke's University Health Network-->NO-->YES-->NO,0,START-->YES-->St. Luke's University Health Network-->NO-->YES-->NO,1
97,7,27,3,"rgba(255,0,0,0.2)","rgba(255,0,0,1.0)",START-->YES-->St. Luke's University Health Network-->NO-->YES-->N/A,0,START-->YES-->St. Luke's University Health Network-->NO-->YES-->N/A,1
98,8,28,3,"rgba(255,128,0,0.2)","rgba(255,128,0,1.0)",START-->YES-->Penn Princeton-->SOME-->SOME-->NO,0,START-->YES-->Penn Princeton-->SOME-->SOME-->NO,1
99,9,26,3,"rgba(0,255,0,0.2)","rgba(0,255,0,1.0)",START-->YES-->Penn Doylestown-->YES-->YES-->NO,0,START-->YES-->Penn Doylestown-->YES-->YES-->NO,1
100,10,27,3,"rgba(255,0,0,0.25)","rgba(255,0,0,1.0)",START-->YES-->Other Yale-->NO-->YES-->NO,1,START-->YES-->Other Yale-->NO-->YES-->NO,1
101,11,27,3,"rgba(255,0,0,0.2)","rgba(255,0,0,1.0)",START-->YES-->Other St. Christopher's Hospital-->NO-->YES-->N/A,0,START-->YES-->Other St. Christopher's Hospital-->NO-->YES-->N/A,1
102,12,26,3,"rgba(0,255,0,0.2)","rgba(0,255,0,1.0)",START-->YES-->Other SJRA-->YES-->YES-->NO,0,START-->YES-->Other SJRA-->YES-->YES-->NO,1
103,13,27,3,"rgba(255,0,0,0.2)","rgba(255,0,0,1.0)",START-->YES-->Other NYU-->NO-->YES-->NO,0,START-->YES-->Other NYU-->NO-->YES-->NO,1
104,14,26,3,"rgba(0,255,0,0.2)","rgba(0,255,0,1.0)",START-->YES-->Other Larchmont Imaging-->YES-->NO-->NO,0,START-->YES-->Other Larchmont Imaging-->YES-->NO-->NO,1
105,15,27,3,"rgba(255,0,0,0.2)","rgba(255,0,0,1.0)",START-->YES-->Other Crozer-->NO-->NO-->YES,0,START-->YES-->Other Crozer-->NO-->NO-->YES,1
106,16,27,3,"rgba(255,0,0,0.2)","rgba(255,0,0,1.0)",START-->YES-->Other - unknown-->NO-->NO-->YES,0,START-->YES-->Other - unknown-->NO-->NO-->YES,1
107,17,27,3,"rgba(255,0,0,0.2)","rgba(255,0,0,1.0)",START-->YES-->Other - Upper Dublin MRI-->NO-->YES-->NO,0,START-->YES-->Other - Upper Dublin MRI-->NO-->YES-->NO,1
108,18,26,3,"rgba(0,255,0,0.2)","rgba(0,255,0,1.0)",START-->YES-->Other (Doylestown)-->YES-->NO-->NO,0,START-->YES-->Other (Doylestown)-->YES-->NO-->NO,1
109,19,26,3,"rgba(0,255,0,0.2)","rgba(0,255,0,1.0)",START-->YES-->Other (Chester County Hospital)-->YES-->YES-->NO,0,START-->YES-->Other (Chester County Hospital)-->YES-->YES-->NO,1
110,20,26,3,"rgba(0,255,0,0.25)","rgba(0,255,0,1.0)",START-->YES-->Other-->YES-->YES-->NO,1,START-->YES-->Other-->YES-->YES-->NO,3
111,20,26,3,"rgba(0,255,0,0.25)","rgba(0,255,0,1.0)",START-->YES-->Other-->YES-->NO-->NO,1,START-->YES-->Other-->YES-->NO-->NO,1
112,20,27,3,"rgba(255,0,0,0.2)","rgba(255,0,0,1.0)",START-->YES-->Other-->NO-->YES-->N/A,0,START-->YES-->Other-->NO-->YES-->N/A,1
113,20,27,3,"rgba(255,0,0,0.2)","rgba(255,0,0,1.0)",START-->YES-->Other-->NO-->NO-->YES,0,START-->YES-->Other-->NO-->NO-->YES,1
114,21,26,3,"rgba(0,255,0,0.2)","rgba(0,255,0,1.0)",START-->YES-->Main Line Health-->YES-->YES-->NO,0,START-->YES-->Main Line Health-->YES-->YES-->NO,1
115,21,28,3,"rgba(255,128,0,0.2)","rgba(255,128,0,1.0)",START-->YES-->Main Line Health-->SOME-->YES-->NO,0,START-->YES-->Main Line Health-->SOME-->YES-->NO,1
116,21,27,3,"rgba(255,0,0,0.25)","rgba(255,0,0,1.0)",START-->YES-->Main Line Health-->NO-->YES-->NO,1,START-->YES-->Main Line Health-->NO-->YES-->NO,2
117,21,27,3,"rgba(255,0,0,0.2)","rgba(255,0,0,1.0)",START-->YES-->Main Line Health-->NO-->YES-->N/A,0,START-->YES-->Main Line Health-->NO-->YES-->N/A,1
118,22,27,3,"rgba(255,0,0,0.25)","rgba(255,0,0,1.0)",START-->YES-->Lehigh Valley Health Network-->NO-->YES-->YES,1,START-->YES-->Lehigh Valley Health Network-->NO-->YES-->YES,1
119,23,26,3,"rgba(0,255,0,0.4)","rgba(0,255,0,1.0)",START-->YES-->HUP/PCAM/Presby/Pennsy-->YES-->YES-->NO,4,START-->YES-->HUP/PCAM/Presby/Pennsy-->YES-->YES-->NO,19
120,23,26,3,"rgba(0,255,0,0.4)","rgba(0,255,0,1.0)",START-->YES-->HUP/PCAM/Presby/Pennsy-->YES-->YES-->N/A,4,START-->YES-->HUP/PCAM/Presby/Pennsy-->YES-->YES-->N/A,9
121,23,26,3,"rgba(0,255,0,0.2)","rgba(0,255,0,1.0)",START-->YES-->HUP/PCAM/Presby/Pennsy-->YES-->N/A-->NO,0,START-->YES-->HUP/PCAM/Presby/Pennsy-->YES-->N/A-->NO,1
122,24,27,3,"rgba(255,0,0,0.2)","rgba(255,0,0,1.0)",START-->YES-->Geisinger and Other-->NO-->SOME-->NO,0,START-->YES-->Geisinger and Other-->NO-->SOME-->NO,1
123,4,27,3,"rgba(255,0,0,0.25)","rgba(255,0,0,1.0)",START-->NO-->Tower Health-->NO-->NO-->YES,1,START-->NO-->Tower Health-->NO-->NO-->YES,1
124,20,29,3,"rgba(150,150,150,0.30000000000000004)","rgba(150,150,150,1.0)",START-->NO-->Other-->N/A-->N/A-->N/A,2,START-->NO-->Other-->N/A-->N/A-->N/A,8
125,25,29,3,"rgba(150,150,150,0.55)","rgba(150,150,150,1.0)",START-->NO-->N/A-->N/A-->N/A-->N/A,7,START-->NO-->N/A-->N/A-->N/A-->N/A,12
126,23,26,3,"rgba(0,255,0,0.2)","rgba(0,255,0,1.0)",START-->NO-->HUP/PCAM/Presby/Pennsy-->YES-->YES-->NO,0,START-->NO-->HUP/PCAM/Presby/Pennsy-->YES-->YES-->NO,1
127,23,27,3,"rgba(255,0,0,0.25)","rgba(255,0,0,1.0)",START-->NO-->HUP/PCAM/Presby/Pennsy-->NO-->NO-->NO,1,START-->NO-->HUP/PCAM/Presby/Pennsy-->NO-->NO-->NO,1
128,23,29,3,"rgba(150,150,150,0.4)","rgba(150,150,150,1.0)",START-->NO-->HUP/PCAM/Presby/Pennsy-->N/A-->N/A-->N/A,4,START-->NO-->HUP/PCAM/Presby/Pennsy-->N/A-->N/A-->N/A,5
129,26,30,4,"rgba(0,255,0,0.2)","rgba(0,255,0,1.0)",START-->YES-->Virtua Health-->YES-->YES-->N/A,0,START-->YES-->Virtua Health-->YES-->YES-->N/A,1
130,26,30,4,"rgba(0,255,0,0.2)","rgba(0,255,0,1.0)",START-->YES-->Tower Health-->YES-->YES-->NO,0,START-->YES-->Tower Health-->YES-->YES-->NO,1
131,27,30,4,"rgba(0,255,0,0.25)","rgba(0,255,0,1.0)",START-->YES-->Tower Health-->NO-->YES-->NO,1,START-->YES-->Tower Health-->NO-->YES-->NO,3
132,26,30,4,"rgba(0,255,0,0.2)","rgba(0,255,0,1.0)",START-->YES-->Thomas Jefferson University Hospital-->YES-->YES-->NO,0,START-->YES-->Thomas Jefferson University Hospital-->YES-->YES-->NO,2
133,28,30,4,"rgba(0,255,0,0.2)","rgba(0,255,0,1.0)",START-->YES-->Thomas Jefferson University Hospital-->SOME-->YES-->YES,0,START-->YES-->Thomas Jefferson University Hospital-->SOME-->YES-->YES,1
134,27,30,4,"rgba(0,255,0,0.25)","rgba(0,255,0,1.0)",START-->YES-->Thomas Jefferson University Hospital-->NO-->YES-->YES,1,START-->YES-->Thomas Jefferson University Hospital-->NO-->YES-->YES,2
