imaging_complete,location,images_available,report_available,repeat_visit,why_imaging_not_available,why_repeat_visit,count,is_ocrevus_reference,attending_addendum,mean_pat_age,num_auth_prov
YES,Main Line Health,NO,YES,NO,,,2,1,0,37.0,1
YES,Main Line Health,NO,YES,N/A,,,1,0,0,45.0,1
YES,Main Line Health,NO,YES,,Patient forgot to bring discs,No relevant prior imaging available,1,0,0,28.0,1
YES,Main Line Health,NO,YES,,Other,No additional/repeat diagnostic visit scheduled,1,0,0,75.0,1
YES,Main Line Health,NO,NO,,Other,Need repeat for diagnostic/treatment criteria,1,0,0,63.0,1
YES,Lehigh Valley Health Network,NO,YES,YES,,,1,1,0,65.0,1
YES,HUP/PCAM/Presby/Pennsy,YES,YES,NO,,,19,4,0,58.0,3
YES,HUP/PCAM/Presby/Pennsy,YES,YES,N/A,,,9,4,0,51.888888888888886,1
YES,HUP/PCAM/Presby/Pennsy,YES,YES,,Not relevant,No additional/repeat diagnostic visit scheduled,5,2,0,49.6,2
YES,HUP/PCAM/Presby/Pennsy,YES,N/A,NO,,,1,0,0,44.0,1
YES,Geisinger and Other,NO,SOME,NO,,,1,0,0,63.0,1
YES,Geisinger,NO,YES,,Patient forgot to bring discs,Need repeat for diagnostic/treatment criteria,1,0,1,53.0,1
NO,Tower Health,NO,NO,YES,,,1,1,0,60.0,1
NO,Other,N/A,N/A,N/A,,,8,2,0,59.375,1
NO,N/A,N/A,N/A,N/A,,,12,7,1,53.583333333333336,1
NO,Main Line Health,NO,YES,,Family forgot to bring,For review of MRI,1,0,0,71.0,1
NO,HUP/PCAM/Presby/Pennsy,YES,YES,NO,,,1,0,0,46.0,1
NO,HUP/PCAM/Presby/Pennsy,NO,NO,NO,,,1,1,0,45.0,1
NO,HUP/PCAM/Presby/Pennsy,N/A,N/A,N/A,,,5,4,0,49.6,1
